record_id,source_id,taxon,parasite,chemistry_resolution,phenotype_context,host_control,mechanistic_support,translation_level,overall_tier,appraisal_basis
P001,annua-leishmania,Artemisia annua,Leishmania donovani,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S3_reported_selectivity_or_host_control,M1_phenotype_only_or_unresolved,T2_in_vitro_with_host_context,B_characterized_phenotype,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S3_reported_selectivity_or_host_control; mechanism=M1_phenotype_only_or_unresolved; translation=T2_in_vitro_with_host_context; rule-based appraisal; inspect source and boundary text before inference
P002,annua-leishmania,Artemisia annua,Leishmania donovani,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S2_partial_control,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,B_characterized_phenotype,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S2_partial_control; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P003,annua-leishmania,Artemisia annua,Leishmania donovani,C2_profiled_mixture,P3_in_vivo_or_organismal,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C2_profiled_mixture; phenotype=P3_in_vivo_or_organismal; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P004,campestris-herba-alba-leishmania,Artemisia campestris,Leishmania infantum,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S3_reported_selectivity_or_host_control,M2_hypothesis_or_stage_mechanism,T2_in_vitro_with_host_context,B_characterized_phenotype,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S3_reported_selectivity_or_host_control; mechanism=M2_hypothesis_or_stage_mechanism; translation=T2_in_vitro_with_host_context; rule-based appraisal; inspect source and boundary text before inference
P005,campestris-herba-alba-leishmania,Artemisia herba-alba,Leishmania infantum,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S3_reported_selectivity_or_host_control,M2_hypothesis_or_stage_mechanism,T2_in_vitro_with_host_context,B_characterized_phenotype,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S3_reported_selectivity_or_host_control; mechanism=M2_hypothesis_or_stage_mechanism; translation=T2_in_vitro_with_host_context; rule-based appraisal; inspect source and boundary text before inference
P006,abyssinica-leishmania,Artemisia abyssinica,Leishmania donovani; L. aethiopica,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S3_reported_selectivity_or_host_control,M1_phenotype_only_or_unresolved,T2_in_vitro_with_host_context,B_characterized_phenotype,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S3_reported_selectivity_or_host_control; mechanism=M1_phenotype_only_or_unresolved; translation=T2_in_vitro_with_host_context; rule-based appraisal; inspect source and boundary text before inference
P007,campestris-helminth,Artemisia campestris,Haemonchus contortus; Heligmosomoides polygyrus,C2_profiled_mixture,P3_in_vivo_or_organismal,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C2_profiled_mixture; phenotype=P3_in_vivo_or_organismal; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P008,gilvescens-mosquito,Artemisia gilvescens,Anopheles anthropophagus,C3_defined_or_purified,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C3_defined_or_purified; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P009,vestita-maritima-helminth,Artemisia vestita; Artemisia maritima,Haemonchus contortus,C1_crude_or_unresolved,P3_in_vivo_or_organismal,S2_partial_control,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P3_in_vivo_or_organismal; host=S2_partial_control; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P010,ethiopian-trypanosome,Artemisia absinthium; A. abyssinica; A. afra; A. annua,Trypanosoma brucei brucei,C3_defined_or_purified,P2_direct_parasite_or_vector_in_vitro,S3_reported_selectivity_or_host_control,M1_phenotype_only_or_unresolved,T2_in_vitro_with_host_context,B_characterized_phenotype,chemistry=C3_defined_or_purified; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S3_reported_selectivity_or_host_control; mechanism=M1_phenotype_only_or_unresolved; translation=T2_in_vitro_with_host_context; rule-based appraisal; inspect source and boundary text before inference
