source_id,record_ids,title,pmid,pmcid,source_url,taxa,parasites,priority,full_text_route,full_text_status,eligibility_focus,required_checks
afra-annua-metabolomics-malaria-2025,P028,Metabolite profiling of Artemisia afra and Artemisia annua extracts reveals divergent effects on Plasmodium falciparum,39765035,,https://pubmed.ncbi.nlm.nih.gov/39765035/,Artemisia annua; Artemisia afra,Plasmodium falciparum,P1_malaria,PubMed abstract plus publisher/full-text lookup,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
afra-powder-malaria-2024,P047,In vivo antimalarial efficacy of Artemisia afra powder suspensions,38761524,,https://pubmed.ncbi.nlm.nih.gov/38761524/,Artemisia afra,Plasmodium berghei,P1_malaria,PubMed abstract plus publisher/full-text lookup,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
annua-ancient-preparation-malaria-2010,P035,Ancient Chinese methods are remarkably effective for the preparation of artemisinin-rich extracts of Qing Hao with potent antimalarial activity,20335947,PMC6257115,https://pmc.ncbi.nlm.nih.gov/articles/PMC6257115/,Artemisia annua,Plasmodium falciparum; Plasmodium berghei,P1_malaria,PMC full text/XML candidate,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
annua-artemisinin-drug-combinations-1987,P094,The effect of combinations of qinghaosu (artemisinin) with standard antimalarial drugs in the suppressive treatment of malaria in mice.,3328341,,https://pubmed.ncbi.nlm.nih.gov/3328341/,Artemisia annua-derived artemisinin,Plasmodium berghei,P1_malaria,PubMed abstract plus publisher/full-text lookup,not yet screened at full text,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
annua-cadinapyridine-2025,P124,Cadinapyridine sesquiterpene alkaloids from Artemisia annua and in vitro cytotoxicity and antiplasmodial activities,40901832,PMC12407398,https://pmc.ncbi.nlm.nih.gov/articles/PMC12407398/,Artemisia annua,Plasmodium falciparum FcB1,P1_malaria,PMC full text/XML candidate,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
annua-chrysosplenetin-resistance-2025,P026,Chrysosplenetin acts as a homeostasis stabilizer with dual-function in shattering Plasmodium berghei K173 resistance to artemisinin driven by both ABC transporters and heme-ROS/GSH axis,41068871,PMC12512365,https://pmc.ncbi.nlm.nih.gov/articles/PMC12512365/,Artemisia annua,Plasmodium berghei K173,P1_malaria,PMC full text/XML candidate,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
annua-co-metabolite-enhancement-2026,P121,"Identification and quantification of sesquiterpenes, alkaloids, flavonoids and coumarins in Artemisia annua L: Potential artemisinin activity-enhancing compounds",41344119,,https://pubmed.ncbi.nlm.nih.gov/41344119/,Artemisia annua,Plasmodium falciparum and rodent malaria,P1_malaria,PubMed abstract plus publisher/full-text lookup,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
annua-complex-antimalarial-invitro-2021,P039,In vitro analyses of Artemisia extracts on Plasmodium falciparum suggest a complex antimalarial effect,33651845,PMC7924776,https://pmc.ncbi.nlm.nih.gov/articles/PMC7924776/,Artemisia annua; Artemisia afra,Plasmodium falciparum 3D7; MRA1252/1240; Cam3.11/Cam3.11rev,P1_malaria,PMC full text/XML candidate,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
annua-discovery-metabolomics-malaria-2022,P122,A Discovery-Based Metabolomic Approach Using UPLC-Q-TOF-MS/MS Reveals Potential Antimalarial Compounds Present in Artemisia annua L.,36499227,PMC9740527,https://pmc.ncbi.nlm.nih.gov/articles/PMC9740527/,Artemisia annua,Plasmodium yoelii and A. annua extract fractions,P1_malaria,PMC full text/XML candidate,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
annua-endophyte-antimalarial-metabolomics-2021,P095,A metabolomic approach to target antimalarial metabolites in the Artemisia annua fungal endophytes.,33531542,PMC7854678,https://pmc.ncbi.nlm.nih.gov/articles/PMC7854678/,Artemisia annua-associated fungal endophytes,Plasmodium spp.,P1_malaria,PMC full text/XML candidate,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
annua-extract-pk-synergy-2026,P025,Differential synergistic antimalarial effects of an A. annua extract on artemisinin via host pharmacokinetic modulation,41990923,,https://pubmed.ncbi.nlm.nih.gov/41990923/,Artemisia annua,Plasmodium falciparum Pf3D7; Plasmodium yoelii,P1_malaria,PubMed abstract plus publisher/full-text lookup,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
annua-extracts-beta-hematin-2015,P084,Screening of different extracts from artemisia species for their potential antimalarial activity.,25901169,,https://pubmed.ncbi.nlm.nih.gov/25901169/,Artemisia ciniformis,Plasmodium surrogate,P1_malaria,PubMed abstract plus publisher/full-text lookup,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
annua-gametocyte-tea-2021,P038,In vitro reduction of Plasmodium falciparum gametocytes: Artemisia spp. tea infusions vs. artemisinin,33271239,PMC7855472,https://pmc.ncbi.nlm.nih.gov/articles/PMC7855472/,Artemisia annua; Artemisia afra,Plasmodium falciparum NF54,P1_malaria,PMC full text/XML candidate,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
annua-gelatin-capsule-malaria-1992,P067,[Studies on the antimalarial action of gelatin capsule of Artemisia annua].,1303339,,https://pubmed.ncbi.nlm.nih.gov/1303339/,Artemisia annua,Plasmodium berghei; Plasmodium vivax,P1_malaria,PubMed abstract plus publisher/full-text lookup,not yet screened at full text,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
