source_id,record_ids,pmid,pmcid,verification_date,full_text_route,full_text_status,material_preparation,chemistry_measurement,parasite_model,primary_outcome,host_control_or_selectivity,constituent_attribution,remaining_eligibility_gate
annua-ancient-preparation-malaria-2010,P035,20335947,PMC6257115,2026-09-02,Europe PMC OA XML plus PMC article,full text verified; quantitative eligibility unresolved,"Fresh A. annua herb was soaked 2 or 12 h and wrung, or pounded and squeezed; dried-herb infusion was the comparator.","Artemisinin quantified by gas-liquid chromatography; pounded juice 293 mg/L, 12-h wrung juice 72.6 mg/L, 2-h wrung juice 45.9 mg/L, dried-herb infusion 14.5 mg/L in the selected high-artemisinin material.","P. falciparum NF54 in vitro; P. berghei-infected mice for oral preparations.","Pounded juice showed the highest in-vitro activity and only pounded juice suppressed mouse parasitemia; reported suppression reached 52%, 95%, and 96% with one, two, and three 9 mg/kg artemisinin-equivalent doses at 12-h intervals.","Preparation comparison and infected-mouse control were reported; no human efficacy or standardized-product control.","Artemisinin exposure explains much of the preparation effect, but juice IC50 values were lower than expected from artemisinin alone; co-metabolite contribution remains a hypothesis.","Extract total-dose and clinical-equivalence checks remain open; do not treat fresh juice as an interchangeable clinical formulation."
annua-origin-malaria-2014,P079,38764794,PMC11100363,2026-09-02,Europe PMC OA XML plus PMC article,full text verified; quantitative eligibility unresolved,"Water infusions of early-flowering leaves from Cameroon and Luxembourg plants, collected in different years and classified as artemisinin-type versus arteannuin-B-type.","Preparative HPLC/PDA profiles and beta-haematin biomineralization; a 10% Cameroon infusion had A405 0.075 versus 1.515 for Luxembourg, and the Cameroon material was reported elsewhere in the article to contain about 1.2% artemisinin versus four-fold less in Luxembourg.","In-vitro ferriprotoporphyrin IX/beta-haematin surrogate; no direct parasite culture endpoint.","Cameroon infusion inhibited beta-haematin formation more strongly across tested dilutions and showed more major chromatographic features than Luxembourg infusion.","Sixteen individual experiments were reported for the surrogate assay; this is not a host-selectivity experiment.","Origin-, chemotype-, and matrix-level association; no terpene-specific attribution and no direct parasite target.","Surrogate endpoint and incomplete matched cultivation metadata preclude direct antimalarial efficacy or terpene-specific inclusion."
annua-complex-antimalarial-invitro-2021,P039,33651845,PMC7924776,2026-09-02,Europe PMC OA XML plus PMC article,full text verified; quantitative eligibility unresolved,"Dried leaves from voucher-authenticated A. annua SAM cultivar and A. afra SEN were extracted separately with dichloromethane, methanol, or hot water; extracts were normalized by artemisinin content for several assays.","A. annua SAM leaves contained 15.9 mg/g dry-weight artemisinin and 2.8 mg/g total flavonoids; A. afra SEN contained 0.037 mg/g artemisinin and 2.03 mg/g total flavonoids. GC-MS quantified artemisinin and an aluminum-chloride assay estimated total flavonoids.","P. falciparum 3D7, MRA1252/MRA1240, and K13 R539T Cam3.II/Cam3.IIrev strains; 72-h growth assays, 6/8/24-h ring-stage survival assays, and pooled human-serum experiments.","DLA extracts showed strain- and exposure-time-dependent activity; the resistant Cam3.IIrev comparison converged with longer exposure, and pooled malaria-exposed sera inhibited parasite growth by at least 70% in the reported serum experiments.","Pure artemisinin, DHA, CoArtem, resistant/sensitive strains, solvent controls, and malaria-naive versus malaria-exposed pooled sera were used; host interaction was proposed, not proven.","Artemisinin content tracks much of the activity, while extract/serum effects support candidate matrix or host interactions; no specific non-artemisinin terpene was isolated as causal.","Full dose-response extraction and independent reanalysis of strain-normalized endpoints remain required before quantitative synthesis."
artemisia-infusions-hypnozoite-2022,P040,34857648,PMC8675911,2026-09-02,Europe PMC OA XML plus PMC article,full text verified; quantitative eligibility unresolved,"Whole-plant water infusions of A. annua and A. afra were compared, with concentrations reported as dry leaf mass per litre.","The study contrasted an artemisinin-containing A. annua infusion with artemisinin-free A. afra; active non-artemisinin chemistry was not resolved to individual terpenes.","P. falciparum blood stages; P. berghei and P. falciparum hepatic stages; P. vivax and P. cynomolgi schizonts and hypnozoites in primary hepatocytes.","Both infusions inhibited blood and liver stages at low leaf-equivalent concentrations; 10 g/L A. annua and 4 g/L A. afra cleared the reported P. falciparum hepatic cultures, and hypnozoite disruption was observed in the relapsing-species experiments.","Primary simian and human hepatocyte toxicity observations, vehicle/drug comparators, stage comparisons, and organelle imaging were reported.","The authors interpreted the shared effects as essentially artemisinin-independent, but the active compounds and direct targets were not identified; the result is infusion-level evidence.","Quantitative stage-specific dose extraction, chemical profiling, and replication with defined fractions remain open."
absinthium-wormwood-lambs,P017;P073,32013192,PMC7070545,2026-09-02,Europe PMC OA XML plus PMC article,full text verified; quantitative eligibility unresolved,"Twenty-four experimentally infected lambs received unsupplemented feed, dried A. absinthium stem at 1 g dry matter/day, dried mallow, or the plant mix for 75 days; matched aqueous extracts were tested in an egg-hatch assay.","UHRMS/HR-Q-TOF-MS characterized phenolic fractions; A. absinthium contained detected terpenoids but the reported quantitative chemistry emphasized phenolic acids and flavonoids, including 0.35 g/kg dry matter total flavonoids.","H. contortus eggs in vitro and experimentally infected lambs with serial fecal egg counts and terminal worm counts.","A. absinthium aqueous extract ED50 and ED99 were 1.40 and 3.76 mg/mL in vitro; mean fecal egg counts and terminal worm counts did not differ significantly among treated and untreated lamb groups.","Four six-lamb groups, untreated controls, mixed-plant comparator, serial EPG, and necropsy endpoints were reported; no terpene-specific host safety or exposure estimate.","Strong ovicidal activity did not translate to a significant in-vivo group effect; the authors discuss bioavailability, rumen metabolism, and mixture synergy rather than a terpene mechanism.","Dose normalization to constituent exposure, individual-animal variability, and full constituent-level attribution remain open."
absinthium-schistosoma,P023,27980595,PMC5131251,2026-09-02,Europe PMC OA XML plus PMC article,full text verified; quantitative eligibility unresolved,"Air-dried A. absinthium leaves were rinsed briefly with dichloromethane; the crude rinse was fractionated and artemetin plus hydroxypelenolide were isolated.","Vouchered material and dichloromethane leaf-rinse extraction; isolated compounds were identified by NMR and tested at 100 micromolar.","Adult S. mansoni pairs from the BH strain, maintained in hamsters and tested for 48 h in vitro.","A. absinthium crude extract caused 100% mortality at 200 microgram/mL and all pairs were dead at 50 and 100 microgram/mL after 48 h; artemetin and hydroxypelenolide were inactive at 100 micromolar.","RPMI and 0.5% DMSO negative controls plus 5 micromolar praziquantel positive control; mammalian-cell selectivity was not established for the A. absinthium crude extract.","The fractionation narrowed the A. absinthium signal to a preparation-level activity, but the two isolated constituents tested were inactive; this is not evidence that either is the active wormwood molecule.","Dose-response extraction, active-fraction identity, host-cell selectivity, and in-vivo confirmation remain open."
annua-leishmania,P001;P002;P003,25505453,PMC4243575,2026-09-02,Europe PMC OA XML plus PMC article,full text verified; quantitative eligibility unresolved,"Fresh A. annua leaves were steam-distilled for 4 h; oil yield was 0.6% on a dry-weight basis and the oil was diluted in DMSO for assays.","GC-MS identified camphor 52.06%, beta-caryophyllene 10.95%, 1,8-cineole 5.57%, beta-caryophyllene oxide 4.21%, and beta-farnesene 3.83% among the reported constituents.","L. donovani promastigotes, intracellular amastigotes in RAW 264.7 macrophages, and infected BALB/c mice.","IC50 was 14.63 plus or minus 1.49 microgram/mL for promastigotes and 7.3 plus or minus 1.85 microgram/mL for intracellular amastigotes; 50/100/200 mg/kg/day for 10 days reduced liver burden by 45.26/63.23/88.68% and spleen burden by 72.48/80.72/91.66%.","No macrophage cytotoxicity was observed up to 200 microgram/mL in the reported assay; organ enzymes remained in the reported normal range in treated mice; amphotericin B and untreated/vehicle controls were included.","The phenotype is for a camphor-rich whole oil; apoptosis, ROS, mitochondrial, and nitric-oxide changes are oil-level mechanistic correlates, not proof that camphor or beta-caryophyllene alone is causal.","Defined-component testing, formulation exposure, broader host safety, and independent in-vivo replication remain open."
absinthium-ascaris-embryogenesis-2022,P058,36145497,PMC9501052,2026-09-02,Europe PMC OA XML plus PMC article,full text verified; quantitative eligibility unresolved,"Aerial A. absinthium material was macerated 72 h in 70% ethanol, turbo-extracted, filtered, and tested as a 10% stock with five serial dilutions; LC/MS profiled the alcoholic extracts.","LC/MS detected polyphenols, tocopherols, sterols, methoxylated flavones, and sesquiterpene lactones in the A. absinthium extract; individual terpene concentrations were not established in the parasite assay.","Non-embryonated A. suum eggs and L1/L2-L3 development in a 21-day in-vitro assay, with five replicates and 100 eggs per dilution.","All tested plant extracts inhibited some developmental endpoints in a concentration-dependent manner; A. absinthium was among the stronger extracts, but the article reports a mixed-extract effect rather than a terpene-specific potency.","70% ethanol and distilled-water controls plus five other botanical extracts; no mammalian-cell or in-vivo host selectivity endpoint in this experiment.","Sesquiterpene lactones were detected as part of a chemically complex extract, but the study did not identify the active molecule or protein target.","Exact row-level concentration-response values and constituent-normalized comparison remain open; retain as crude-extract evidence."
annua-tea-metabolomics-malaria-2025,P123,40844983,PMC12373170,2026-09-02,Europe PMC OA XML plus PMC article,full text verified; quantitative eligibility unresolved,"Aerial parts from ten Benin plantations and one French location were vouchered, dried at 45 degrees C for one week, ground, and prepared as 1 g in 200 mL boiling water for 15 min; a one-year storage comparison was included.","Artemisinin was quantified by LC-MS/MRM and untargeted LC-HRMS metabolomics was used for tea profiles; artemisinin ranged from 0.3 mg/L in French tea to 15.7 mg/L in the highest Benin tea, while storage losses at three Benin localities were 33%, 48%, and 24%.","Chloroquine-sensitive P. falciparum 3D7 in a 42-h tritiated-hypoxanthine incorporation assay with triplicate independent plates.","Artemisinin concentration and tea antiplasmodial activity were positively correlated; the artemisinin-equivalent IC50 comparison suggested enhancing or limiting co-metabolites, and unknown alkaloids correlated with activity.","Matched pure-artemisinin comparison, triplicate parasite assays, vouchered plantation sampling, and storage comparisons were reported; no clinical or host-selectivity endpoint.","This is origin-, storage-, and matrix-level evidence. Candidate co-metabolites were statistically associated but not purified or proven to be terpenes or causal effectors.","Full metabolite identities, raw concentration-response extraction, and constituent-level validation remain open; do not equate tea activity with standardized artemisinin treatment."
annua-plant-matrix-malaria-pk-2025,P078;P118,40334250,PMC12058161,2026-09-02,Europe PMC OA XML plus PMC article,full text verified; quantitative eligibility unresolved,"Voucher-identified A. annua leaves and stems were reflux-extracted four times with petroleum ether at 60-90 degrees C for 1 h and purified by silica chromatography; the resulting natural multi-component extract was dose-matched to pure artemisinin.","UPLC quantified five sesquiterpenes in the extract: artemisinin 28.41%, deoxyartemisinin 13.91%, arteannuin I 3.66%, dihydroartemisinic acid 6.63%, and artemisinic acid 1.62%; the isolated compounds were identity-supported by HRMS/NMR.","P. yoelii and P. berghei four-day murine malaria models, rat oral pharmacokinetics, and Caco-2 P-glycoprotein efflux/translocation assays.","At the lowest matched artemisinin dose, 20 mg/kg extract produced about 42% inhibition versus about 4% for approximately 5.68 mg/kg pure artemisinin; extract ART AUC was about two-fold higher and half-life about 1.6-fold longer, while ART efflux ratio was 6.26 versus 10.99 for ART alone.","Mouse vehicle and pure-ART comparators, rat PK sampling, and Caco-2 viability testing were reported; this is not human efficacy or a clinical-equivalence study.","DEART, AA, and DHAA reduced P-glycoprotein substrate efflux in Caco-2 experiments, supporting a matrix/host-transporter hypothesis; no individual compound was shown to cause the parasite phenotype.","Full dose-response extraction, independent replication, parasite-target engagement, and translational exposure matching remain open; retain as plant-matrix preclinical evidence."
