pmid,title,decision,evidence_scope,decision_rationale
41391185,"Comparative genomic analysis of Artemisia argyi reveals asymmetric expansion of terpene synthases and conservation of artemisinin biosynthesis.",include_primary_synthesis,"A. argyi comparative TPS/ADS genomics and artemisinin-pathway conservation","Primary comparative-genomics study directly informs the evolution section; assembly, haplotype, annotation, and recombinant-function boundaries prevent treating reported copy counts as settled orthology or native pathway flux."
40350417,"In vitro activity and selectivity of Artemisia afra and Artemisia annua aqueous extracts against artemisinin-resistant Plasmodium falciparum.",include_primary_synthesis,"comparative aqueous-extract activity against resistant P. falciparum","Primary resistant-parasite/selectivity study strengthens the malaria evidence stream; aqueous matrix effects and species-specific chemistry do not establish a terpene mechanism or clinical efficacy."
33740256,"Discovery and modulation of diterpenoid metabolism improves glandular trichome formation, artemisinin production and stress resilience in Artemisia annua.",include_primary_synthesis,"A. annua diterpene-synthase diversity, trichome formation, artemisinin, and stress resilience","Primary diterpene-genomics and perturbation study informs C20 pathway and trichome biology; engineered/transgenic effects do not establish cross-species conservation or antiparasitic action."
39006964,"The reference genome sequence of Artemisia argyi provides insights into secondary metabolism biosynthesis.",include_primary_synthesis,"A. argyi reference genome, MeJA response, and terpenoid-pathway resource","Primary genome/transcriptome study informs assembly-aware comparative genomics and regulatory candidate prioritization; gene-model expansion is not proof of terpene function or antiparasitic activity."
38439855,"Comparison of phytochemical properties and expressional profiling of artemisinin synthesis-related genes in various Artemisia species.",include_primary_synthesis,"controlled five-species chemistry and pathway-gene expression","Primary common-environment comparison informs species-specific chemotypes and expression limits; GC-MS assignments and correlations do not establish evolutionary gain/loss or therapeutic equivalence."
39498451,"Efficient biosynthesis of beta-caryophyllene in Saccharomyces cerevisiae by beta-caryophyllene synthase from Artemisia argyi.",include_primary_synthesis,"A. argyi beta-caryophyllene synthases and engineered yeast production","Primary enzyme and metabolic-engineering study informs TPS function and production feasibility; fermentation output is not in-planta abundance or antiparasitic evidence."
33973783,"Engineering Nootkatone Biosynthesis in Artemisia annua.",include_primary_synthesis,"A. annua valencene synthase/oxidase engineering and plastid targeting","Primary metabolic-engineering study informs sesquiterpene pathway design and compartment effects; engineered production does not establish native nootkatone biology or parasite activity."
35566390,"Biotechnological Approaches for Production of Artemisinin, an Anti-Malarial Drug from Artemisia annua L.",include_review_context,"A. annua artemisinin tissue culture, elicitation, and metabolic engineering review","Relevant review context for malaria-focused biosynthesis and production; primary enzyme, pathway, pharmacology, and clinical evidence remain separately coded."
35491411,"Artemyrianosins A-J, cytotoxic germacrane-type sesquiterpene lactones from Artemisia myriantha.",include_primary_synthesis,"A. myriantha germacrane-type sesquiterpene lactone isolation and structure","Primary isolation study expands structurally confirmed STL diversity; hepatoma cytotoxicity is not antiparasitic evidence or host-selectivity evidence."
2255584,Artemisia annua L.: a source of novel antimalarial drugs.,include_review_context,artemisinin chemistry biosynthesis pharmacology safety,"Relevant historical review; use for discovery and pathway context, not as a substitute for primary studies."
26085047,Antiprotozoal Effect of Artemisia indica Extracts and Essential Oil.,include_primary_synthesis,terpene chemistry and protozoan assays,"Reports oil composition, multiple extract preparations, parasite-panel activity, and mammalian cytotoxicity."
30942629,Biosynthesis of anti-leishmanial natural products in callus cultures of Artemisia scoparia.,include_primary_synthesis,callus chemistry and Leishmania tropica assay,"Reports a bounded callus-extract experiment with GC-MS and promastigote IC50; crude-extract attribution remains unresolved."
33645121,"[Research advances of biosynthesis, in vivo analysis and pharmacokinetics of chemical constituents in Artemisiae Annuae Herba].",include_review_context,A. annua constituent biosynthesis pharmacokinetics,"Relevant review context; scope includes many non-terpene constituents and is not an efficacy estimate."
10996256,Cloning and molecular analysis of two new sesquiterpene cyclases from Artemisia annua L.,include_primary_synthesis,sesquiterpene-cyclase gene family and tissue expression,"Primary molecular study with tissue-specific expression relevant to terpene evolution."
11289612,"Amorpha-4,11-diene synthase: cloning and functional expression of a key enzyme in the biosynthetic pathway of the novel antimalarial drug artemisinin.",include_primary_synthesis,ADS enzyme function,"Recombinant enzyme and heterologous expression directly anchor an artemisinin-pathway step."
17236047,Artemisinin Related Sesquiterpenes and Essential Oil in Artemisia annua During a Vegetation Period in Vietnam.,include_primary_synthesis,developmental chemistry and essential-oil composition,"Leaf, flower, fruit, stage, and oil measurements directly address tissue and phenology."
20075252,The genetic map of Artemisia annua L. identifies loci affecting yield of the antimalarial drug artemisinin.,include_primary_synthesis,artemisinin-yield QTL and breeding genomics,"Primary linkage/QTL study connecting genetic variation with artemisinin yield; relevant to genotype–chemotype evolution, but not a cross-species orthology result."
20428043,Effect of sugars on artemisinin production in Artemisia annua L.: transcription and metabolite measurements.,include_primary_synthesis,carbon-regulated artemisinin pathway expression and metabolites,"Primary perturbation study measuring pathway transcripts and artemisinin-related metabolites; bounded to A. annua seedlings and does not establish cross-species conservation."
27263081,Prolonged exposure to salt stress affects specialized metabolites-artemisinin and essential oil accumulation in Artemisia annua L.: metabolic acclimation in preferential favour of enhanced terpenoid accumulation accompanying vegetative to reproductive phase transition.,include_primary_synthesis,stress-responsive terpene and artemisinin chemistry,"Primary life-cycle salt-stress experiment with artemisinin, related metabolites, and essential-oil measurements; useful for environmental covariates, not an antiparasitic efficacy study."
27339275,Root regulation of artemisinin production in Artemisia annua: trichome and metabolite evidence.,include_primary_synthesis,root–shoot regulation of glandular-trichome chemistry,"Primary grafting and metabolite study showing rootstock effects on shoot artemisinin-related chemistry; supports tissue-context extraction, not a transport mechanism or comparative-genomics result."
27340104,Effect of leaf digestion and artemisinin solubility for use in oral consumption of dried Artemisia annua leaves to treat malaria.,include_primary_synthesis,preparation and bioaccessibility of dried-leaf artemisinin,"Primary simulated-digestion study relevant to translation and preparation context; does not establish clinical efficacy of dried leaves or isolate a terpene mechanism."
28327802,In vitro and in vivo antileishmanial activity of Artemisia annua L. leaf powder and its potential usefulness in the treatment of uncomplicated cutaneous leishmaniasis in humans.,include_primary_synthesis,dried-leaf preparation and Leishmania assays,"Primary in-vitro/in-vivo antileishmanial study of a whole-leaf preparation with cytotoxicity context; activity cannot be assigned to artemisinin or another terpene without fractionation."
28488391,Essential Oil Variability in Natural Populations of Artemisia campestris (L.) and Artemisia herba-alba (Asso) and Incidence on Antiacetylcholinesterase and Antioxidant Activities.,include_primary_synthesis,population chemotype variation and bioactivity,"Primary multi-population oil study linking composition to geography/climate and non-parasitic bioassays; supports chemotype stratification but not antiparasitic inference."
28914025,[Sesquiterpenoids from aerial parts of Artemisia myriantha].,include_primary_synthesis,sesquiterpene and sesquiterpene-lactone isolation,"Primary isolation and spectroscopic characterization study; expands compound-class coverage, while reported cytotoxicity is not antiparasitic evidence."
28942674,Two new guaiane sesquiterpene lactones from the aerial parts of Artemisia vulgaris.,include_primary_synthesis,guaiane sesquiterpene-lactone isolation,"Primary structure-elucidation study using NMR, HR-MS, and CD; relevant to lactone diversity, but cancer-cell assays do not establish antiparasitic activity."
28945019,[Molecular mechanism of artemisinin biosynthesis and regulation in Artemisia annua].,include_review_context,artemisinin biosynthesis and trichome regulation,"Relevant review context for discovery and pathway synthesis; use primary studies for quantitative claims and do not treat it as cross-species evidence."
19007951,Sesquiterpene lactones from the endemic Cape Verdean Artemisia gorgonum.,include_primary_synthesis,isolated sesquiterpene lactones and antiplasmodial assay,"Isolation/NMR and purified-compound assay provide compound-level evidence."
19548188,Secondary metabolic profiling and artemisinin biosynthesis of two genotypes of Artemisia annua.,include_primary_synthesis,genotype-by-stage metabolomics,"Comparative metabolite profiling directly addresses chemotype and developmental variation."
23607933,Toxic essential oils. Part II: chemical toxicological pharmacological and microbiological profiles of Artemisia annua L. volatiles.,include_primary_synthesis,volatile chemotype and safety,"Reports composition, chemotype clustering, and toxicity; useful for translation boundaries."
23703440,Comparison of antimalarial activity of Artemisia turanica extract with current drugs in vivo.,include_primary_synthesis,crude extract and Plasmodium berghei mouse assay,"In-vivo antimalarial evidence is relevant but extract chemistry and late-infection limitations must remain explicit."
24689216,T-DNA insertion alters the terpenoid content composition and bioactivity of transgenic Artemisia annua.,include_primary_synthesis,terpenoid perturbation and antimalarial extract assay,"Links transformation-associated terpenoid changes to crude-extract bioactivity; does not identify a causal terpene."
25194528,Transcriptome responses involved in artemisinin production in Artemisia annua L. under UV-B radiation.,include_primary_synthesis,environmental transcriptomics and artemisinin production,"Controlled UV-B experiment directly addresses environment-responsive pathway regulation."
25632489,Chemistry and leishmanicidal activity of the essential oil from Artemisia absinthium from Cuba.,include_primary_synthesis,oil chemistry and Leishmania assay,"Matched composition, in-vitro parasite assays, cytotoxicity, and mouse study make this a high-value mixture-level record."
27930305,Artemisia annua mutant impaired in artemisinin synthesis demonstrates importance of nonenzymatic conversion in terpenoid metabolism.,include_primary_synthesis,genetic perturbation and trichome metabolic flux,"Loss-of-function and isotope-feeding evidence directly test pathway mechanism within A. annua."
29936053,A phylogenetic road map to antimalarial Artemisia species.,include_primary_synthesis,phylogenetic prioritization and LC-MS detection,"Connects phylogeny, ethnobotanical records, and artemisinin detection; does not establish abundance or efficacy."
17399751,Functional genomics and the biosynthesis of artemisinin.,include_review_context,glandular-trichome functional genomics,"Relevant review of trichome biology and CYP71AV1 pathway work; primary evidence is retained separately."
18257222,[Advances in sesquiterpene synthases cyclases of Artemisia annua].,include_review_context,sesquiterpene-synthase pathway context,"Relevant review context for A. annua cyclases; not a new comparative orthology result."
20084379,DMSO triggers the generation of ROS leading to an increase in artemisinin and dihydroartemisinic acid in Artemisia annua shoot cultures.,include_primary_synthesis,elicitation and pathway metabolite response,"Controlled tissue-culture perturbation links ROS treatment to metabolites and differential pathway responses."
20724645,Reproductive development modulates gene expression and metabolite levels with possible feedback inhibition of artemisinin in Artemisia annua.,include_primary_synthesis,developmental trichome and artemisinin regulation,"Directly addresses reproductive stage, tissue, pathway transcripts, and metabolite correlations."
20874804,Dissection of the phytohormonal regulation of trichome formation and biosynthesis of the antimalarial compound artemisinin in Artemisia annua plants.,include_primary_synthesis,hormone regulation and glandular trichomes,"Compares chemotypes and hormone treatments with trichome and metabolite measurements."
20957501,Methyl jasmonate counteracts boron toxicity by preventing oxidative stress and regulating antioxidant enzyme activities and artemisinin biosynthesis in Artemisia annua L.,include_primary_synthesis,environmental stress and elicitation,"Relevant to stress-mediated artemisinin regulation; safety keyword does not imply human safety evidence."
21030913,The biosynthesis of artemisinin (Qinghaosu) and the phytochemistry of Artemisia annua L. (Qinghao).,include_review_context,A. annua phytochemistry and pathway context,"Broad review useful for discovery and historical synthesis, not a substitute for primary evidence."
21184232,Metabolic engineering of artemisinin biosynthesis in Artemisia annua L.,include_review_context,metabolic engineering pathway context,"Relevant review of engineering strategies; engineered outcomes must be separated from wild-type chemistry."
21468706,β-Cyclodextrins enhance artemisinin production in Artemisia annua suspension cell cultures.,include_primary_synthesis,tissue-culture elicitation,"Controlled culture experiment changes artemisinin production but is not an intact-plant chemotype comparison."
21509717,Artemisinin biosynthesis enhancement in transgenic Artemisia annua plants by downregulation of the β-caryophyllene synthase gene.,include_primary_synthesis,precursor competition and transgenic chemistry,"Perturbation tests carbon allocation between sesquiterpene branches; crude activity attribution is not assumed."
22393777,Cloning and characterization of trichome-specific promoter of cpr71av1 gene involved in artemisinin biosynthesis in Artemisia annua L.,include_primary_synthesis,trichome-specific promoter regulation,"Primary promoter and reporter study relevant to tissue-specific pathway control."
23085820,The effect of roots and media constituents on trichomes and artemisinin production in Artemisia annua L.,include_primary_synthesis,rooting media and trichome context,"Controlled culture study separates rooting/media effects from transcript and metabolite observations."
24413765,Transgenic approach to increase artemisinin content in Artemisia annua L.,include_review_context,transgenic artemisinin production context,"Useful engineering context; transgenic yield changes are not natural comparative evolution."
25616735,The activity of the artemisinic aldehyde Δ11(13) reductase promoter is important for artemisinin yield in different chemotypes of Artemisia annua L.,include_primary_synthesis,DBR2 promoter and chemotype comparison,"Directly compares high- and low-artemisinin chemotypes and branch-point metabolites."
26444558,Genetic Transformation of Artemisia carvifolia Buch with rol Genes Enhances Artemisinin Accumulation.,include_primary_synthesis,non-annua artemisinin detection and transformation,"Relevant alternate-species compound detection and engineering; transformed material is not evidence of wild-type pathway equivalence."
28001315,GLANDULAR TRICHOME-SPECIFIC WRKY 1 promotes artemisinin biosynthesis in Artemisia annua.,include_primary_synthesis,trichome transcription-factor regulation,"Primary regulatory study connecting a trichome-specific factor to pathway gene expression."
28197158,Overexpression and Suppression of Artemisia annua 4-Hydroxy-3-Methylbut-2-enyl Diphosphate Reductase 1 Gene (AaHDR1) Differentially Regulate Artemisinin and Terpenoid Biosynthesis.,include_primary_synthesis,MEP-pathway perturbation and broad terpenoid chemistry,"Bidirectional genetic perturbation links precursor supply to multiple terpene classes."
28440881,Overexpression of a type-I isopentenyl pyrophosphate isomerase of Artemisia annua in the cytosol leads to high arteannuin B production and artemisinin increase.,include_primary_synthesis,precursor-isomerase perturbation,"Primary enzyme and transgenic study relevant to precursor allocation and pathway products."
29589124,Biotechnological approaches for artemisinin production in Artemisia.,include_review_context,biotechnological production context,"Review useful for discovery of engineering studies; not a comparative species or antiparasitic efficacy result."
10096851,Isolation and identification of dihydroartemisinic acid from artemisia annua and its possible role in the biosynthesis of artemisinin.,include_primary_synthesis,artemisinin precursor isolation,"Direct metabolite isolation supports a pathway intermediate but not a complete in-vivo flux model."
