claim_id,article_section,claim,source_ids,source_records_resolve,source_anchor_type,specimen_or_assay_context,audit_status,audit_note
C028,5,"A bounded pathway-focused comparison generated 388 candidate orthogroups from 890 A. annua pathway queries and 1,273 A. argyi homology candidates",annua-genome; argyi-genome,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C046,6.3,"A. brevifolia whole-plant preparations produced dose-increasing in-vitro and ovine anthelmintic phenotypes, with crude aqueous extract reaching 67.2% day-14 EPG reduction at 3 g/kg",brevifolia-anthelmintic-sheep-2004,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C052,6,Publisher-indexed full-text sections report that greater than 95%-pure dehydroleucodine from Artemisia douglassiana induced programmed-cell-death phenotypes in multiple T. cruzi stages,stl-tcruzi-pcd-2014,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C063,3,A purified A. annua leaf protein converted arteannuin B to artemisinin with 58% conversion in a defined biochemical assay,annua-arteannuin-b-conversion-enzyme-2001,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C066,4,Artemisinin content in A. annua has a substantial heritable additive component and selected hybrid lines reached up to 1.4% dry-leaf mass,annua-artemisinin-genetics-2001,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C072,2.4,"A. aucheri shoot culture yielded the isolated eudesmanolide artemin, expanding confirmed non-artemisinin sesquiterpene-lactone space",aucheri-artemin-2019,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C076,6.2;6.3,"Full-text analysis found seasonally variable artemisinin in A. sieberi (0.20% summer/pre-flowering; 0.14% autumn/seeded dry weight), and the oral extract reduced reported E. acervulina and E. tenella outcomes but not E. maxima",sieberi-artemisinin-coccidia-2007,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C094,6.3,A regional A. absinthium oil containing 27.40% camphor showed activity against Leishmania stages with weak hemolysis in vitro,absinthium-leishmania,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C113,6.3,A veterinary network meta-analysis included 256 animals across six studies and identified A. absinthium among more effective botanical candidates while emphasizing heterogeneous evidence and the need for stronger trials,botanical-anthelmintic-network-meta-analysis-2020,yes,secondary_quantitative_synthesis,scope-qualified in claim audit,verified_source_linked,Quantitative network-synthesis claim retained as secondary context; not used as a primary specimen-level estimate.
C124,4;6.1,Extended natural drying reduced A. monosperma essential-oil yield by 23.7 percent and altered its constituent profile,monosperma-drying-oil-2026,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C141,6.3,"A. vestita and A. maritima extracts reduced H. contortus fecal egg counts in sheep, with maximum reported reductions of 87.2% and 84.5% at 100 mg/kg and activity against larvae and adults in vitro",vestita-maritima-helminth,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C144,6.2,"Dichloromethane extracts and bioactivity-guided fractions of A. aucheri and A. armeniaca inhibited beta-hematin formation, with the strongest A. armeniaca fraction more active than its parent extract",aucheri-armeniaca-antimalarial-2014,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C145,5,"A historical PCR screen detected selected ADS active-site regions only in A. annua, A. aucheri, and A. chamaemelifolia among ten species, while no complete ADS gene was amplified",artemisia-ads-ten-species-2011,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C149,2.1,"HPLC detected artemisinin at 0.07-0.45 percent dry mass in seven Tajikistan Artemisia species, including A. vachanica as a proposed new source",tajikistan-artemisinin-species-2019,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C152,7,"A. absinthium extract-loaded polymeric nanoparticles produced short-lived toxicity at 300 mg/kg and severe acute toxicity/mortality at 2,000 mg/kg in female Wistar rats",absinthium-polymeric-nanoparticle-toxicity-2023,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C160,6.1,"A. annua chloroform, methanol, ethanol, and acetone leaf extracts and purified artemisinin killed Culex larvae, with chloroform extract more potent than artemisinin in the reported LC50/LC90 comparison",annua-culex-larvicide-2012,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C169,2.2;4.1,Iranian Alborz A. absinthium oil yielded 1.3% and was dominated by beta-pinene and beta-thujone in a 28-component full-bloom sample,absinthium-iran-oil-2008,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C170,4.1;5,Selection and clonal propagation produced A. annua genotypes exceeding 2% artemisinin and estimated field productivity up to 70 kg/ha,annua-high-genotype-clonal-propagation-2018,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C188,4;6.2,"In one historical vegetation-period study, A. annua artemisinin peaked before flowering and a growth regulator increased content by approximately 30%",annua-vegetation-artemisinin-1986,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C267,5.1,Artemisinin recovery from A. annua tea infusions is strongly temperature-dependent and can exceed 90% under tested conditions,annua-tea-infusion-2011,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C288,4;5,Four recurrent-selection cycles increased A. annua artemisinin from 0.15% to 1.16% and identified a molecular marker associated with high-yielding genotypes,annua-recurrent-selection-2010,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C289,3;5,Co-overexpression of CYP71AV1 and CPR increased artemisinin by up to 38% in one transgenic A. annua line,annua-cyp71av1-cpr-overexpression-2012,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C293,5.1,Microscale GC-ECD can quantify artemisinin from a single living A. annua leaf or flower with greater than 95% recovery,annua-living-leaf-gc-2009,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C299,3;4,Potassium deficiency increased A. annua artemisinin concentration from 0.93% to 1.62% without a significant difference in total yield from complete nutrition,annua-nutrient-deficiency-2007,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C301,3,Model-based nutrient feeding increased hairy-root artemisinin accumulation to 1.0 mg/g in a stirred bioreactor,annua-hairy-root-fed-bioreactor-2015,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C302,5.1,Supercritical CO2 extraction at 30 MPa and 33 C experimentally yielded 0.71 plus or minus 0.07% artemisinin under the optimized design,annua-supercritical-extraction-2018,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C317,3,Hairy-root reactor production of artemisinin increased from 4.63 to 10.33 mg/L with methyl-jasmonate elicitation,annua-hairy-root-reactor-2014,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C324,6.1-6.2,Parasite unfolded-protein-response and proteasome capacity contribute to DHA survival and resistance independently of Kelch13 genotype,pf-artemisinin-proteostasis-resistance-2024,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C345,6.2,"Stage-resolved 5 g/L A. annua and A. afra teas reduced P. falciparum asexual parasites and gametocytes, with stronger effects tracking artemisinin content and only a weak artemisinin-deficient A. afra signal",annua-gametocyte-tea-2021,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C346,6.3,"Cold-methanolic A. herba-alba flower and aerial-part extracts inhibited Haemonchus contortus adult motility and egg hatching, with the flower extract reaching 98.67% egg-hatch inhibition at 1 mg/mL",herba-alba-haemonchus-crude-extract-2020,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
