pmid,title,query_families,keyword_domains,abstract_priority_score,manual_status,abstract_status
2255584,Artemisia annua L.: a source of novel antimalarial drugs.,sesquiterpene_lactone;biosynthesis_genes;antiparasitic;safety,chemistry;genomics;antiparasitic;safety;primary_methods,8,pending_manual_review,retrieved
26085047,Antiprotozoal Effect of Artemisia indica Extracts and Essential Oil.,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic,chemistry;genomics;antiparasitic;safety;primary_methods,8,pending_manual_review,retrieved
30942629,Biosynthesis of anti-leishmanial natural products in callus cultures of Artemisia scoparia.,biosynthesis_genes;antiparasitic;safety,chemistry;genomics;antiparasitic;safety;primary_methods,8,pending_manual_review,retrieved
33645121,"[Research advances of biosynthesis, in vivo analysis and pharmacokinetics of chemical constituents in Artemisiae Annuae Herba].",terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic;safety,chemistry;genomics;antiparasitic;safety;primary_methods,8,pending_manual_review,retrieved
10996256,Cloning and molecular analysis of two new sesquiterpene cyclases from Artemisia annua L.,sesquiterpene_lactone;genomics_phylogenomics;antiparasitic,chemistry;genomics;antiparasitic;primary_methods,7,pending_manual_review,retrieved
11185551,"Amorpha-4,11-diene synthase of Artemisia annua: cDNA isolation and bacterial expression of a terpene synthase involved in artemisinin biosynthesis.",terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;genomics_phylogenomics;antiparasitic;safety,chemistry;genomics;antiparasitic;primary_methods,7,pending_manual_review,retrieved
11289612,"Amorpha-4,11-diene synthase: cloning and functional expression of a key enzyme in the biosynthetic pathway of the novel antimalarial drug artemisinin.",terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic;safety,chemistry;genomics;antiparasitic;primary_methods,7,pending_manual_review,retrieved
12709893,"Artemisinin, a novel antimalarial drug: biochemical and molecular approaches for enhanced production.",terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic,chemistry;genomics;antiparasitic;primary_methods,7,pending_manual_review,retrieved
15971573,[Advances in molecular regulation of artemisinin biosynthesis].,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic,chemistry;genomics;antiparasitic;primary_methods,7,pending_manual_review,retrieved
16458889,"Artemisia annua L. (Asteraceae) trichome-specific cDNAs reveal CYP71AV1, a cytochrome P450 with a key role in the biosynthesis of the antimalarial sesquiterpene lactone artemisinin.",terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic,chemistry;genomics;antiparasitic;primary_methods,7,pending_manual_review,retrieved
17399751,Functional genomics and the biosynthesis of artemisinin.,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;genomics_phylogenomics;antiparasitic,chemistry;genomics;antiparasitic;primary_methods,7,pending_manual_review,retrieved
18257222,[Advances in sesquiterpene synthases cyclases of Artemisia annua].,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic,chemistry;genomics;antiparasitic;primary_methods,7,pending_manual_review,retrieved
20084379,DMSO triggers the generation of ROS leading to an increase in artemisinin and dihydroartemisinic acid in Artemisia annua shoot cultures.,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic,chemistry;genomics;antiparasitic;primary_methods,7,pending_manual_review,retrieved
