pmid,title,journal,pubdate,query_families,keyword_domains,priority_score,candidate_status,abstract,abstract_status
16458889,"Artemisia annua L. (Asteraceae) trichome-specific cDNAs reveal CYP71AV1, a cytochrome P450 with a key role in the biosynthesis of the antimalarial sesquiterpene lactone artemisinin.",FEBS letters,2006 Feb 20,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic,chemistry;lactone;genomics;phenotype,5,title_priority_only,"Artemisinin, a sesquiterpene lactone endoperoxide derived from the plant Artemisia annua, forms the basis of the most important treatments of malaria in use today. In an effort to elucidate the biosynthesis of artemisinin, an expressed sequence tag approach to identifying the relevant biosynthetic genes was undertaken using isolated glandular trichomes as a source of mRNA. A cDNA clone encoding a cytochrome P450 designated CYP71AV1 was characterized by expression in Saccharomyces cerevisiae and shown to catalyze the oxidation of the proposed biosynthetic intermediates amorpha-4,11-diene, artemisinic alcohol and artemisinic aldehyde. The identification of the CYP71AV1 gene should allow for the engineering of semi-synthetic production of artemisinin in appropriate plant or microbial hosts.",retrieved
3509293,Analysis of the antimalarial sesquiterpene artemisinin in Artemisia annua by high-performance liquid chromatography (HPLC) with postcolumn derivatization and ultraviolet detection.,Pharmaceutical research,1987 Jun,terpene_essential_oil;sesquiterpene_lactone;antiparasitic,chemistry;lactone;phenotype,4,title_priority_only,,no_abstract
11185551,"Amorpha-4,11-diene synthase of Artemisia annua: cDNA isolation and bacterial expression of a terpene synthase involved in artemisinin biosynthesis.",Archives of biochemistry and biophysics,2000 Nov 15,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;genomics_phylogenomics;antiparasitic;safety,chemistry;lactone;genomics,4,title_priority_only,"Artemisia annua, an indigenous plant to Korea, contains an antimalarial sesquiterpene, artemisinin. The first committed step of artemisinin biosynthesis is the cyclization of farnesyl diphosphate by a sesquiterpene synthase to produce an amorphane-type ring system. The aims of this research were to molecularly clone and express amorpha-4,11-diene synthase for metabolic engineering. PCR amplification of genomic DNA with a pair of primers, designed from the conserved regions of sesquiterpene synthases of several plants, produced a 184-bp DNA fragment. This fragment was used in Northern blot analysis as a probe, showing approximately 2.2 kb of a single band. Its sequence information was used to produce 2106 bp of a full-length cDNA sequence including 1641 bp of open reading frame for 546 amino acids (kcs12) through a rapid amplification of cDNA ends (RACE). The deduced amino acid sequence displayed 36% identity with 5-epi-aristolochene synthase of Nicotiana tabacum. A soluble fraction of Escherichia coli harboring kcs12 catalyzed the cyclization of farnesyl diphosphate to produce a sesquiterpene, which was identified through GC-MS analysis as amorpha-4,11-diene.",retrieved
21030913,The biosynthesis of artemisinin (Qinghaosu) and the phytochemistry of Artemisia annua L. (Qinghao).,"Molecules (Basel, Switzerland)",2010 Oct 28,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic,chemistry;lactone;genomics,4,title_priority_only,"The Chinese medicinal plant Artemisia annua L. (Qinghao) is the only known source of the sesquiterpene artemisinin (Qinghaosu), which is used in the treatment of malaria. Artemisinin is a highly oxygenated sesquiterpene, containing a unique 1,2,4-trioxane ring structure, which is responsible for the antimalarial activity of this natural product. The phytochemistry of A. annua is dominated by both sesquiterpenoids and flavonoids, as is the case for many other plants in the Asteraceae family. However, A. annua is distinguished from the other members of the family both by the very large number of natural products which have been characterised to date (almost six hundred in total, including around fifty amorphane and cadinane sesquiterpenes), and by the highly oxygenated nature of many of the terpenoidal secondary metabolites. In addition, this species also contains an unusually large number of terpene allylic hydroperoxides and endoperoxides. This observation forms the basis of a proposal that the biogenesis of many of the highly oxygenated terpene metabolites from A. annua - including artemisinin itself - may proceed by spontaneous oxidation reactions of terpene precursors, which involve these highly reactive allyllic hydroperoxides as intermediates. Although several studies of the biosynthesis of artemisinin have been reported in the literature from the 1980s and early 1990s, the collective results from these studies were rather confusing because they implied that an unfeasibly large number of different sesquiterpenes could all function as direct precursors to artemisinin (and some of the experiments also appeared to contradict one another). As a result, the complete biosynthetic pathway to artemisinin could not be stated conclusively at the time. Fortunately, studies which have been published in the last decade are now providing a clearer picture of the biosynthetic pathways in A. annua. By synthesising some of the sesquiterpene natural products which have been proposed as biogenetic precursors to artemisinin in such a way that they incorporate a stable isotopic label, and then feeding these precursors to intact A. annua plants, it has now been possible to demonstrate that dihydroartemisinic acid is a late-stage precursor to artemisinin and that the closely related secondary metabolite, artemisinic acid, is not (this approach differs from all the previous studies, which used radio-isotopically labelled precursors that were fed to a plant homogenate or a cell-free preparation). Quite remarkably, feeding experiments with labeled dihydroartemisinic acid and artemisinic acid have resulted in incorporation of label into roughly half of all the amorphane and cadinane sesquiterpenes which were already known from phytochemical studies of A. annua. These findings strongly support the hypothesis that many of the highly oxygenated sesquiterpenoids from this species arise by oxidation reactions involving allylic hydroperoxides, which seem to be such a defining feature of the chemistry of A. annua. In the particular case of artemisinin, these in vivo results are also supported by in vitro studies, demonstrating explicitly that the biosynthesis of artemisinin proceeds via the tertiary allylic hydroperoxide, which is derived from oxidation of dihydroartemisinic acid. There is some evidence that the autoxidation of dihydroartemisinic acid to this tertiary allylic hydroperoxide is a non-enzymatic process within the plant, requiring only the presence of light; and, furthermore, that the series of spontaneous rearrangement reactions which then convert this allylic hydroperoxide to the 1,2,4-trioxane ring of artemisinin are also non-enzymatic in nature.",retrieved
22019553,UV-B and UV-C pre-treatments induce physiological changes and artemisinin biosynthesis in Artemisia annua L. - an antimalarial plant.,"Journal of photochemistry and photobiology. B, Biology",2011 Dec 2,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic,lactone;genomics;phenotype,4,title_priority_only,"Present study was undertaken to investigate if short-term UV-B (4.2 kJ m(-2) day(-1)) and UV-C (5.7 kJ m(-2) day(-1)), pre-treatments can induce artemisinin biosynthesis in Artemisia annua. Twenty-one day old Artemisia seedlings were subjected to short-term (14 days) UV pre-treatment in an environmentally controlled growth chamber and then transplanted to the field under natural conditions. Treatment of A. annua with artificial UV-B and UV-C radiation not only altered the growth responses, biomass, pigment content and antioxidant enzyme activity but enhanced the secondary metabolites (artemisinin and flavonoid) content at all developmental stages as compared to non-irradiated plants. The extent of oxidative damage was measured in terms of the activities of enzymes such as catalase, superoxide dismutase and ascorbate peroxidase. Reinforcement in the antioxidative defense system seems to be a positive response of plants in ameliorating the negative effects of UV-B and UV-C radiations. While the carotenoid content was elevated, the chlorophyll content decreased under UV-B and UV-C pre-treatments. The reverse transcription PCR analysis of the genes associated in artemisinin/isoprenoid biosynthesis like 3-hydroxy-3-methylglutaryl coenzyme A reductase (HMGR), cytochrome P450 oxidoreductase (CPR) and amorpha-4,11-diene synthase (ADS) genes at different growth stages revealed UV induced significant over-expression of the above protein genes. UV-B and UV-C pre-treatments, led to an increase in the concentrations of artemisinin at full bloom stage by 10.5% and 15.7% than that of the control respectively. Thus, the result of our study suggests that short term UV-B pre-treatment of seedlings in greenhouse prior to transplantation into the field enhances artemisinin production with lesser yield related damages as compared to UV-C radiation in A. annua.",retrieved
20874804,Dissection of the phytohormonal regulation of trichome formation and biosynthesis of the antimalarial compound artemisinin in Artemisia annua plants.,The New phytologist,2011 Jan,terpene_essential_oil;sesquiterpene_lactone;diterpene_triterpene;biosynthesis_genes;genomics_phylogenomics;antiparasitic,lactone;genomics;phenotype,4,title_priority_only,"• Biosynthesis of the sesquiterpene lactone and potent antimalarial drug artemisinin occurs in glandular trichomes of Artemisia annua plants and is subjected to a strict network of developmental and other regulatory cues. • The effects of three hormones, jasmonate, gibberellin and cytokinin, were studied at the structural and molecular levels in two different A. annua chemotypes by microscopic analysis of gland development, and by targeted metabolite and transcript profiling. Furthermore, a genome-wide cDNA-amplified fragment length polymorphism (AFLP)-based transcriptome profiling was carried out of jasmonate-elicited leaves at different developmental stages. • Although cytokinin and gibberellin positively affected at least one aspect of gland formation, these two hormones did not stimulate artemisinin biosynthesis. Only jasmonate simultaneously promoted gland formation and coordinated transcriptional activation of biosynthetic gene expression, which ultimately led to increased sesquiterpenoid accumulation with chemotype-dependent effects on the distinct pathway branches. Transcriptome profiling revealed a trichome-specific fatty acyl- coenzyme A reductase, trichome-specific fatty acyl-CoA reductase 1 (TFAR1), the expression of which correlates with trichome development and sesquiterpenoid biosynthesis. • TFAR1 is potentially involved in cuticular wax formation during glandular trichome expansion in leaves and flowers of A. annua plants. Analysis of phytohormone-modulated transcriptional regulons provides clues to dissect the concerted regulation of metabolism and development of plant trichomes.",retrieved
20957501,Methyl jasmonate counteracts boron toxicity by preventing oxidative stress and regulating antioxidant enzyme activities and artemisinin biosynthesis in Artemisia annua L.,Protoplasma,2011 Jul,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic;safety,lactone;genomics;phenotype,4,title_priority_only,"Boron is an essential plant micronutrient, but it is phytotoxic if present in excessive amounts in soil for certain plants such as Artemisia annua L. that contains artemisinin (an important antimalarial drug) in its areal parts. Artemisinin is a sesquiterpene lactone with an endoperoxide bridge. It is quite expensive compound because the only commercial source available is A. annua and the compound present in the plant is in very low concentration. Since A. annua is a major source of the antimalarial drug and B stress is a deadly threat to its cultivation, the present research was conducted to determine whether the exogenous application of methyl jasmonate (MeJA) could combat the ill effects of excessive B present in the soil. According to the results obtained, the B toxicity induced oxidative stress and reduced the stem height as well as fresh and dry masses of the plant remarkably. The excessive amounts of soil B also lowered the net photosynthetic rate, stomatal conductance, internal CO(2) concentration and total chlorophyll content in the leaves. In contrast, the foliar application of MeJA enhanced the growth and photosynthetic efficiency both in the stressed and non-stressed plants. The excessive B levels also increased the activities of antioxidant enzymes, such as catalase, peroxidase and superoxide dismutase. Endogenous H(2)O(2) and O(2)(-) levels were also high in the stressed plants. However, the MeJA application to the stressed plants reduced the amount of lipid peroxidation and stimulated the synthesis of antioxidant enzymes, enhancing the content and yield of artemisinin as well. Thus, it was concluded that MeJA might be utilized in mitigating the B toxicity and improving the content and yield of artemisinin in A. annua plant.",retrieved
21710305,"Arsenic-induced changes in morphological, physiological, and biochemical attributes and artemisinin biosynthesis in Artemisia annua, an antimalarial plant.","Ecotoxicology (London, England)",2011 Nov,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic;safety,lactone;genomics;phenotype,4,title_priority_only,"Present study is the first to explore physiological, biochemical and molecular changes in the medicinal plant Artemisia annua under arsenic (As) stress. A. annua grown hydroponically in a nutrient solution was spiked with increasing doses of As (0, 1,500, 3,000 and 4,500 μg l(-1)) for 7 days. Plants accumulated As in a dose dependent manner with bioconcentration factor 13.4 and translocation factor 0.97. While a similar trend of As accumulation was observed under soil culture experiments, the transfer factor went up to 2.1, depicting high efficiency of As translocation from roots to shoots by A. annua. Plants raised in 0-3,000 μg l(-1) As containing nutrient solution registered increase in root length, biomass, and carotenoid contents without any visual toxicity symptoms. A dose dependent increase in the activities of enzymes such as superoxide dismutase, ascorbate peroxidase, glutathione reductase and guaiacol peroxidase followed by a gradual decline at higher concentrations suggested their role in alleviating oxidative stress. Significant increase in the levels of thiols, GSH, and pcs gene transcript up to 3,000 μg l(-1) As attested their roles in As detoxification. Enhanced artemisinin production (an antimalarial compound) under As stress and upregulation of the transcripts (measured by RT-PCR) of the genes HMGR, FDS, ADS, and CYP71AV1 involved in artemisinin biosynthesis reaffirmed induction of artemisinin biosynthesis in A. annua under As stress. The results of the present study vividly suggested that A. annua has considerable As tolerance, and thus can be successfully cultivated in As contaminated fields.",retrieved
24367814,"Arsenic, chromium and NaCl induced artemisinin biosynthesis in Artemisia annua L.: a valuable antimalarial plant.",Ecotoxicology and environmental safety,2013 Dec,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic,lactone;genomics;phenotype,4,title_priority_only,"Effect of As(III), Cr(VI) and NaCl on plant growth, antioxidant enzymes, SOD, TBRAS, protein, cDNA amplification of key genes of artemisinin pathway and artemisinin biosynthesis have been investigated to explore the actual changes in total herb and artemisinin yield in a crop cycle of Artemisia annua. Enhanced TBARS and SOD activity (4 U mg⁻¹), decreased catalase activity and total cholorophyll content were observed under metal(loid) and NaCl stress. Accumulation of As (III; µg mg⁻¹ DW) was higher in roots (10.75±0.00) than shoot (0.43±0.00) at 10 µg ml⁻¹. While Cr(VI; µg ml⁻¹ DW) accumulated more in shoots (37±9.6, 41.1±7.2 and 52.71±19.6). cDNA template of these treated plants along with control were amplified with HMGR, ADS and CYP71AV1 genes (artemisinin biosynthetic pathway genes); showed very low expression with Cr(VI) while As(III) (5 and 7.5 µg ml⁻¹) showed higher expression than control. The results obtained from this study suggest that A. annua can grow well with favoring artemisinin biosynthesis with treatment of As(III) 5, 7.5 µg ml⁻¹ and NaCl, while 10 µg ml⁻¹ As(III) and all doses of Cr(VI) affect artemisinin synthesis. Finally some evidence also suggests that As(III), Cr(VI) and NaCl induces stress affects on total herb yield of plant.",retrieved
28197158,Overexpression and Suppression of Artemisia annua 4-Hydroxy-3-Methylbut-2-enyl Diphosphate Reductase 1 Gene (AaHDR1) Differentially Regulate Artemisinin and Terpenoid Biosynthesis.,Frontiers in plant science,2017,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;genomics_phylogenomics;antiparasitic,chemistry;lactone;genomics,4,title_priority_only,"4-Hydroxy-3-methylbut-2-enyl diphosphate reductase (HDR) catalyzes the last step of the 2-C-methyl-D-erythritol 4- phosphate (MEP) pathway to synthesize isopentenyl pyrophosphate (IPP) and dimethylallyl diphosphate (DMAPP). To date, little is known regarding effects of an increase or a decrease of a HDR expression on terpenoid and other metabolite profiles in plants. In our study, an Artemisia annua HDR cDNA (namely AaHDR1) was cloned from leaves. Expression profiling showed that it was highly expressed in leaves, roots, stems, and flowers with different levels. Green florescence protein fusion and confocal microscope analyses showed that AaHDR1 was localized in chloroplasts. The overexpression of AaHDR1 increased contents of artemisinin, arteannuin B and other sesquiterpenes, and multiple monoterpenes. By contrast, the suppression of AaHDR1 by anti-sense led to opposite results. In addition, an untargeted metabolic profiling showed that the overexpression and suppression altered non-polar metabolite profiles. In conclusion, the overexpression and suppression of AaHDR1 protein level in plastids differentially affect artemisinin and other terpenoid biosynthesis, and alter non-polar metabolite profiles of A. annua. Particularly, its overexpression leading to the increase of artemisinin production is informative to future metabolic engineering of this antimalarial medicine.",retrieved
