pmid,title,journal,pubdate,query_families,keyword_domains,priority_score,candidate_status
16458889,"Artemisia annua L. (Asteraceae) trichome-specific cDNAs reveal CYP71AV1, a cytochrome P450 with a key role in the biosynthesis of the antimalarial sesquiterpene lactone artemisinin.",FEBS letters,2006 Feb 20,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic,chemistry;lactone;genomics;phenotype,5,title_priority_only
3509293,Analysis of the antimalarial sesquiterpene artemisinin in Artemisia annua by high-performance liquid chromatography (HPLC) with postcolumn derivatization and ultraviolet detection.,Pharmaceutical research,1987 Jun,terpene_essential_oil;sesquiterpene_lactone;antiparasitic,chemistry;lactone;phenotype,4,title_priority_only
11185551,"Amorpha-4,11-diene synthase of Artemisia annua: cDNA isolation and bacterial expression of a terpene synthase involved in artemisinin biosynthesis.",Archives of biochemistry and biophysics,2000 Nov 15,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;genomics_phylogenomics;antiparasitic;safety,chemistry;lactone;genomics,4,title_priority_only
21030913,The biosynthesis of artemisinin (Qinghaosu) and the phytochemistry of Artemisia annua L. (Qinghao).,"Molecules (Basel, Switzerland)",2010 Oct 28,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic,chemistry;lactone;genomics,4,title_priority_only
22019553,UV-B and UV-C pre-treatments induce physiological changes and artemisinin biosynthesis in Artemisia annua L. - an antimalarial plant.,"Journal of photochemistry and photobiology. B, Biology",2011 Dec 2,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic,lactone;genomics;phenotype,4,title_priority_only
20874804,Dissection of the phytohormonal regulation of trichome formation and biosynthesis of the antimalarial compound artemisinin in Artemisia annua plants.,The New phytologist,2011 Jan,terpene_essential_oil;sesquiterpene_lactone;diterpene_triterpene;biosynthesis_genes;genomics_phylogenomics;antiparasitic,lactone;genomics;phenotype,4,title_priority_only
20957501,Methyl jasmonate counteracts boron toxicity by preventing oxidative stress and regulating antioxidant enzyme activities and artemisinin biosynthesis in Artemisia annua L.,Protoplasma,2011 Jul,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic;safety,lactone;genomics;phenotype,4,title_priority_only
21710305,"Arsenic-induced changes in morphological, physiological, and biochemical attributes and artemisinin biosynthesis in Artemisia annua, an antimalarial plant.","Ecotoxicology (London, England)",2011 Nov,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic;safety,lactone;genomics;phenotype,4,title_priority_only
24367814,"Arsenic, chromium and NaCl induced artemisinin biosynthesis in Artemisia annua L.: a valuable antimalarial plant.",Ecotoxicology and environmental safety,2013 Dec,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic,lactone;genomics;phenotype,4,title_priority_only
28197158,Overexpression and Suppression of Artemisia annua 4-Hydroxy-3-Methylbut-2-enyl Diphosphate Reductase 1 Gene (AaHDR1) Differentially Regulate Artemisinin and Terpenoid Biosynthesis.,Frontiers in plant science,2017,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;genomics_phylogenomics;antiparasitic,chemistry;lactone;genomics,4,title_priority_only
31516509,Sesquiterpene lactones from shoot culture of Artemisia aucheri with cytotoxicity against prostate and breast cancer cells.,Research in pharmaceutical sciences,2019 Aug,sesquiterpene_lactone,chemistry;lactone;phenotype,4,title_priority_only
32932206,Exogenous abscisic acid mediates ROS homeostasis and maintains glandular trichome to enhance artemisinin biosynthesis in Artemisia annua under copper toxicity.,Plant physiology and biochemistry : PPB,2020 Nov,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic;safety,lactone;genomics;phenotype,4,title_priority_only
41391185,Comparative genomic analysis of Artemisia argyi reveals asymmetric expansion of terpene synthases and conservation of artemisinin biosynthesis.,The Plant journal : for cell and molecular biology,2025 Dec,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;genomics_phylogenomics;antiparasitic,chemistry;lactone;genomics,4,title_priority_only
14495608,[On sesquiterpene lactones of Artemisia leucodes Schrenk].,Meditsinskaia promyshlennost' SSSR,1961 Nov,terpene_essential_oil;sesquiterpene_lactone,chemistry;lactone,3,title_priority_only
