record_id,taxon,material_or_tissue,preparation,compound_or_feature,terpene_class,reported_value_or_status,identification_or_evidence,source_id,scope_boundary
SC001,Artemisia annua,leaf essential oil,hydrodistillation; GC-MS,camphor,monoterpene,52.06%,reported oil composition,annua-leishmania,one tested oil; not a species mean
SC002,Artemisia annua,leaf essential oil,hydrodistillation; GC-MS,beta-caryophyllene,sesquiterpene,10.95%,reported oil composition,annua-leishmania,one tested oil; not a species mean
SC003,Artemisia abyssinica,leaf essential oil,hydrodistillation; GC-MS,yomogi alcohol,oxygenated monoterpene,38.47%,reported oil composition,abyssinica-leishmania,one oil and associated toxicity study
SC004,Artemisia abyssinica,leaf essential oil,hydrodistillation; GC-MS,artemisyl acetate,oxygenated monoterpene ester,24.88%,reported oil composition,abyssinica-leishmania,one oil and associated toxicity study
SC005,Artemisia indica,aerial-part essential oil,hydrodistillation; GC/GC-MS,camphor,monoterpene,13.0%,reported oil composition,indica-antiprotozoal,composition linked to a mixture-level protozoan study
SC006,Artemisia indica,aerial-part essential oil,hydrodistillation; GC/GC-MS,caryophyllene oxide,oxygenated sesquiterpene,10.87%,reported oil composition,indica-antiprotozoal,composition linked to a mixture-level protozoan study
SC007,Artemisia absinthium,Cuban aerial-part oil,hydrodistillation; GC-MS,trans-sabinyl acetate,monoterpene ester,36.7%,reported oil composition,absinthium-cuba-leishmania,regional chemotype and route-specific assay
SC008,Artemisia campestris,aerial-part essential oil,hydrodistillation; GC-MS,beta-pinene,monoterpene,36.40%,reported oil composition,campestris-helminth,oil also contained non-terpene 2-undecanone
SC009,Artemisia gilvescens,essential oil,hydrodistillation; GC-MS,caryophyllene oxide,oxygenated sesquiterpene,major/assay-linked constituent,reported composition and defined-compound follow-up,gilvescens-mosquito,larvicidal evidence is vector-control evidence
SC010,Artemisia gilvescens,essential oil,hydrodistillation; GC-MS,germacrene D,sesquiterpene,major/assay-linked constituent,reported composition and defined-compound follow-up,gilvescens-mosquito,larvicidal evidence is vector-control evidence
SC011,Artemisia annua,leaves at five months,whole-plant extraction; HPLC/LC methods,artemisinin,sesquiterpene lactone,0.86% dry weight,quantified developmental series,annua-vegetation-vietnam,one Vietnamese vegetation period
SC012,Artemisia annua,leaves at five months,whole-plant extraction; HPLC/LC methods,artemisinic acid,sesquiterpene precursor,0.16% dry weight,quantified developmental series,annua-vegetation-vietnam,one Vietnamese vegetation period
SC013,Artemisia annua,leaves at five months,whole-plant extraction; HPLC/LC methods,arteannuin B,sesquiterpene,0.08% dry weight,quantified developmental series,annua-vegetation-vietnam,one Vietnamese vegetation period
SC014,Artemisia annua,leaves across stages,GC/GC-MS,borneol,monoterpene,genotype/stage marker,PLS-DA marker,annua-genotype-metabolic-profile,marker status is not causal evidence
SC015,Artemisia annua,leaves across stages,GC/GC-MS,beta-farnesene,sesquiterpene,genotype/stage marker,PLS-DA marker,annua-genotype-metabolic-profile,marker status is not causal evidence
SC016,Artemisia frigida,aerial parts across populations,GC-MS,germacrene D,sesquiterpene,dominant in 67% of samples,comparative population study,frigida-variability,dominance varies by population and year
SC017,Artemisia herba-alba,aerial parts in Tunisia,GC/GC-MS,beta-thujone,monoterpene ketone,major chemotype constituent,chemometric population study,herba-alba-variability,locality-specific chemotype
SC018,Artemisia herba-alba,aerial parts in Tunisia,GC/GC-MS,alpha-thujone,monoterpene ketone,major chemotype constituent,chemometric population study,herba-alba-variability,locality-specific chemotype
SC019,Artemisia argyi,flowers and aerial tissues,essential oil; GC-MS,bornyl acetate,monoterpene ester,reported constituent,review-level composition record,artemisia-essential-oils-review,tissue and regional context required
SC020,Artemisia argyi,flowers and aerial tissues,essential oil; GC-MS,borneol,monoterpene,reported constituent,review-level composition record,artemisia-essential-oils-review,tissue and regional context required
SC021,Artemisia gorgonum,leaves and flowers,solvent extraction; isolation/NMR,ridentin,sesquiterpene lactone,isolated; P. falciparum IC50 3.8 +/- 0.7 microgram/mL,compound isolation and parasite assay,gorgonum-antiplasmodial,one endemic species and purified-compound assay
SC022,Artemisia caruifolia,aerial part,solvent extraction; spectroscopy,3beta-hydroxy-29-norcycloart-24-one,triterpene,isolated novel triterpene,compound isolation,caruifolia-triterpenes,cytotoxicity was not antiparasitic evidence
SC023,Artemisia umbelliformis,aerial part,solvent extraction; spectroscopy,genepolide,sesterpene gamma-lactone,C25 unusual lactone; isolated,structural isolation and chemotype study,umbelliformis-genepolide,not a conventional C15 sesquiterpene lactone
SC024,Artemisia dracunculus,aerial parts,essential oil; volatile analysis,estragole,phenylpropanoid; non-terpene,dominant in some chemotypes,reported volatile composition,dracunculus-review,retained as a non-terpene comparator
SC025,Artemisia campestris,aerial-part essential oil,hydrodistillation; GC-MS,2-undecanone,non-terpene co-occurring volatile,14.70%,reported oil composition,campestris-helminth,not included in terpene totals
SC026,Artemisia annua,recombinant enzyme,FPP enzyme assay; GC-MS,epi-cedrol,oxygenated sesquiterpene,major recombinant oxygenated product,heterologous enzyme characterization,annua-epicedrol-synthase,catalytic product spectrum is not native tissue abundance
SC027,Artemisia annua,plant material,solvent extraction; isolation and spectroscopy,dihydroartemisinic acid,sesquiterpene acid,isolated pathway candidate,compound isolation,annua-dihydroartemisinic-acid,precursor role interpreted with later pathway evidence
SC028,Artemisia annua,plant material,solvent extraction; isolation and spectroscopy,dihydroartemisinic acid hydroperoxide,oxygenated sesquiterpene acid,isolated proposed late intermediate,compound isolation,annua-dhaa-hydroperoxide,isolation does not measure dominant in-vivo flux
SC029,Artemisia annua,glandular-trichome cDNA; recombinant enzyme,FPP enzyme assay,germacrene A,sesquiterpene,recombinant single-scaffold product,heterologous enzyme characterization,annua-germacrene-a-synthase,downstream lactone formation was not established by this assay
SC030,Artemisia annua,leaves before and after drying,controlled post-harvest treatment,artemisinin and acid precursors,sesquiterpene-lactone pathway,processing-sensitive concentrations,targeted chemical quantification,annua-drying-chemistry,fresh and dried materials should not be pooled
SC031,Artemisia herba-alba,80 individuals from eight Tunisian populations,essential oil; GC-MS and population markers,trans-sabinyl acetate thujones and camphor,monoterpenes,four reported chemotypes,population chemistry and genetic markers,herba-alba-genetic-chemotype,population structure did not reduce to one geographic species profile
SC032,Artemisia argyi,root stem and leaf,integrated metabolomics and transcriptomics,terpenoid-associated metabolite features,multiple terpene classes,tissue-specific profiles,correlated multi-omics,argyi-tissue-terpenoids,feature correlation and candidate P450 expression are not enzyme validation
SC033,Artemisia argyi,glandular versus non-glandular leaf cells,LC-MS GC-MS and single-cell transcriptomics,sesquiterpenoids,sesquiterpene class,enriched among glandular-trichome differences,cell-resolved multi-omics,argyi-single-cell-trichomes,differential accumulation does not alone assign a biosynthetic gene
SC034,Artemisia-associated compound,purified dehydroleucodine,cultured parasite assay,dehydroleucodine,sesquiterpene lactone,growth-inhibitory phenotype against Trypanosoma cruzi epimastigotes,defined-compound assay,dehydroleucodine-trypanosoma,parasite stage and host selectivity limit translation
SC035,Artemisia lancea,essential oil,in-vitro egg and larval assays,whole volatile mixture,mixed mono- and sesquiterpenes,ovicidal and larvicidal phenotype,preparation-level helminth assay,lancea-haemonchus-oil,active constituent and in-vivo efficacy unresolved
SC036,Artemisia absinthium,aerial parts,crude ethanolic extract; ovine treatment,unfractionated extract,mixed polar and nonpolar constituents,90.46% fecal egg-count reduction at 2.0 g/kg on day 15,ovine FECRT and adult-worm motility assay,absinthium-ovine-nematodes,extract-level evidence; no terpene attribution
SC037,Artemisia absinthium,two cultivated populations,essential oil; ex-vivo and in-vivo nematode assays,(Z)-epoxyocimene and chrysanthenol,volatile mono- and oxygenated monoterpenes,72-100% reduction of Trichinella spiralis L1 infectivity at 0.5-1 mg/mL; 66% intestinal-adult reduction in vivo,GC-MS plus nematode assay,absinthium-selective-nematocidal-oils,thujone-free cultivated oils; no effect on Meloidogyne javanica
SC038,Artemisia absinthium,dried wormwood supplementation and aqueous extract,ovine feeding; egg-hatch assay,whole plant powder and aqueous extract,mixed plant metabolites,aqueous extract ED50 1.40 mg/mL and ED99 3.76 mg/mL in H. contortus egg-hatch assay,feed study and in-vitro ovicidal assay,absinthium-wormwood-lambs,group-level fecal egg counts were not significantly different
SC039,Artemisia annua,dried whole plant,rodent malaria treatment,whole-plant matrix including artemisinin,sesquiterpene lactone plus co-metabolites,overcame selected P. yoelii resistance and slowed P. chabaudi resistance evolution in experimental models,rodent efficacy and serial-selection study,annua-whole-plant-resistance,not evidence for human efficacy or a standardized clinical preparation
SC040,Artemisia annua,leaves,hexane extract,artemisinic acid,sesquiterpene,isolated and structurally characterized as a possible artemisinin precursor,isolation and X-ray crystallography,annua-artemisinic-acid-structure-1993,precursor occurrence is not proof of complete biosynthetic flux or antiparasitic activity
SC041,Artemisia aucheri,in-vitro shoot-culture aerial parts,dichloromethane-acetone extract,"artemin (2,5-dihydroxy-12,6-eudesmanolide-4(15)-ene)",sesquiterpene lactone,isolated eudesmanolide reported from this plant for the first time,chromatographic isolation and structure assignment,aucheri-artemin-2019,tissue-culture occurrence and cancer-cell cytotoxicity do not establish native abundance or antiparasitic activity
SC042,Artemisia sieberi,essential oil,GC/GC-MS; contact and fumigant assay,"alpha-thujone; beta-thujone; camphor; 1,8-cineole",monoterpenes,"31.5%; 11.92%; 12.3%; and 10.09% respectively in the reported oil",oil composition paired with poultry-mite assay,sieberi-poultry-mite-2017,one oil preparation; mixture-level ectoparasite result and no poultry or human safety window
SC043,Artemisia sieberi,aerial parts,petrol-ether extract; HPLC-UV and broiler coccidiosis assay,artemisinin,sesquiterpene lactone,"0.20% summer and 0.14% autumn dry weight; extract-associated Eimeria activity was species-specific",quantitative HPLC-UV plus veterinary assay,sieberi-artemisinin-coccidia-2007,"season-, extract-, and host-specific occurrence; no human or single-constituent inference"
